Site_ID,medium_cd,site_no,Piez_Nest,Site_name,sample_dt,Date_Analyzed,coll_ent_cd,remark_cd,result_va,result_va_meq,meth_cd,rpt_lev_va,anl_ent_cd,parameter_nm,srsname,parameter_units,Source,Sample.area.or.well.piezometer.Unit.Formation.of.Screened.Interval,Latitude,Latitude_Datum,Longitude,LandSurfaceElevation_ft..NAVD88,Well_Depth_ft..BLS,Top.of.Sample_ftBLS,Bottom.of.Sample_ftBLS,MeanSampleDepth_ftBLS
Olivia-4,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,1.1,0.036666667,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Buried aquifer,"44°46'29.65""",NAD83,"95°00'21.65""",1071,238,204,228,216
Olivia-5,WG,4.44639E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,0.6,0.02,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Buried aquifer,"44°46'39.47""",NAD83,"95°00'21.78""",1075.01,226,228,238,233
OT-105,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,NA,USGS,NA,1.7,0.056666667,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"44°46'30.64""",NAD83,"95°00'21.74""",1071.61,105.1,101.95,104.94,103.445
OT-13,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,0.4,0.013333333,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Surficial aquifer,"44°46'30.34""",NAD83,"95°00'21.43""",1070.51,13.15,7.89,13.03,10.46
OT-145,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,NA,USGS,NA,1.6,0.053333333,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"44°46'30.53""",NAD83,"95°00'21.75""",1071.44,144.26,141.15,144.13,142.64
OT-175,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,NA,USGS,NA,1.3,0.043333333,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1071.46,175.39,172.26,175.26,173.76
OT-20,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,0.8,0.026666667,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1070.75,20.17,17.44,19.91,18.675
OT-60,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,2.7,0.09,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1070.67,59.91,56.74,59.77,58.255
CWO1-A,WG,4.6411E+14,CW_1,Cromwell,5/13/2016,20160526,USGS,NA,2.6,0.074285714,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"46°41'10""",NAD83,"92°53'14""",1326.28,147.97,144.56,147.36,145.96
CWO1-B,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,20160526,USGS,NA,1.56,0.044571429,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Confined Aquifer,"46°41'10""",NAD83,"92°53'14""",1326.29,230.87,220.91,230.53,225.72
CWO1-C,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,20160526,USGS,NA,1.01,0.028857143,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Bedrock Aquifer / Thomson Formation,"46°41'10""",NAD83,"92°53'14""",1326.25,339.59,329.63,339.25,334.44
CWO2-A,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160526,USGS,NA,45.4,1.297142857,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Semi-Confined Aquifer,"46°41'12""",NAD83,"92°53'14""",1332.28,35.17,32.3,34.96,33.63
CWO2-B,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,20160526,USGS,NA,9.91,0.283142857,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.59,59.62,56.75,59.41,58.08
CWO2-C,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,20160526,USGS,NA,4.93,0.140857143,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.33,81.57,78.7,81.36,80.03
CWO2-D,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160526,USGS,NA,1.31,0.037428571,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.13,106.45,103.58,106.24,104.91
CWO2-E,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160526,USGS,NA,9.44,0.269714286,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.44,128.65,125.78,128.44,127.11
HB-3,WG,4.65652E+14,HFC_1,HFC,9/11/2017,20170922,USGS,NA,0.46,0.013142857,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Buried aquifer,"46°56'52.84""",NAD83,"94°39'47.2""",1453.03,223.66,213.33,223.53,218.43
HT-115,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20170922,USGS,NA,0.57,0.016285714,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"46°56'52.81""",NAD83,"94°39'47.97""",1452,115.02,112.35,114.83,113.59
HT-140,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20170922,USGS,NA,1.54,0.044,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"46°56'52.79""",NAD83,"94°39'47.84""",1452.39,140.44,137.77,140.25,139.01
HT-175,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20170922,USGS,NA,1.08,0.030857143,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"46°56'52.89""",NAD83,"94°39'47.87""",1452.04,175.14,172.47,174.95,173.71
HT-200,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20170922,USGS,NA,0.58,0.016571429,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"46°56'52.9""",NAD83,"94°39'48.01""",1452.04,197.89,195.22,197.7,196.46
LFO2-A,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160520,USGS,NA,36.7,1.048571429,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Semi-Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.45,19.99,17.12,19.78,18.45
LFO2-B,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160520,USGS,NA,30.5,0.871428571,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.29,35.13,32.26,34.92,33.59
LFO2-C,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160520,USGS,NA,25.6,0.731428571,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.72,59.84,56.97,59.63,58.3
LFO2-D,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160519,USGS,NA,17,0.485714286,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.18,85.14,82.27,84.93,83.6
LFO2-E,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160519,USGS,NA,11.4,0.325714286,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.64,113.82,110.95,113.61,112.28
LFO2-F,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160519,USGS,NA,13.5,0.385714286,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.47,162.42,149.56,159.18,154.37
MW-01,WG,4.65652E+14,HFC_1,HFC,9/11/2017,20170922,USGS,NA,0.7,0.02,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Surficial aquifer,"46°56'52.45""",NAD83,"94°39'47.79""",1453.54,85,80,85,82.5
Olivia-4,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171103,USGS,NA,16,0.457142857,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Buried aquifer,"44°46'29.65""",NAD83,"95°00'21.65""",1071,238,204,228,216
Olivia-5,WG,4.44639E+14,Ol_1,Olivia,10/24/2017,20171103,USGS,NA,8.97,0.256285714,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Buried aquifer,"44°46'39.47""",NAD83,"95°00'21.78""",1075.01,226,228,238,233
OT-105,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171101,USGS,NA,11.5,0.328571429,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"44°46'30.64""",NAD83,"95°00'21.74""",1071.61,105.1,101.95,104.94,103.445
OT-13,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171114,USGS,NA,7.12,0.203428571,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Surficial aquifer,"44°46'30.34""",NAD83,"95°00'21.43""",1070.51,13.15,7.89,13.03,10.46
OT-145,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171101,USGS,NA,13.7,0.391428571,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"44°46'30.53""",NAD83,"95°00'21.75""",1071.44,144.26,141.15,144.13,142.64
OT-175,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171101,USGS,NA,17.8,0.508571429,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1071.46,175.39,172.26,175.26,173.76
OT-20,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171114,USGS,NA,40,1.142857143,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1070.75,20.17,17.44,19.91,18.675
OT-60,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171103,USGS,NA,13.1,0.374285714,IC022,0.02,USGSNWQL,Chloride_ water_ filtered_ milligrams per liter,Chloride,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1070.67,59.91,56.74,59.77,58.255
CWO1-A,WG,4.6411E+14,CW_1,Cromwell,5/13/2016,20160622,USGS,NA,18.7,1.558333333,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"46°41'10""",NAD83,"92°53'14""",1326.28,147.97,144.56,147.36,145.96
CWO1-B,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,20160622,USGS,NA,13,1.083333333,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Confined Aquifer,"46°41'10""",NAD83,"92°53'14""",1326.29,230.87,220.91,230.53,225.72
CWO1-C,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,20160622,USGS,NA,18.4,1.533333333,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Bedrock Aquifer / Thomson Formation,"46°41'10""",NAD83,"92°53'14""",1326.25,339.59,329.63,339.25,334.44
CWO2-A,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,17.8,1.483333333,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Semi-Confined Aquifer,"46°41'12""",NAD83,"92°53'14""",1332.28,35.17,32.3,34.96,33.63
CWO2-B,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,20160622,USGS,NA,16.1,1.341666667,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.59,59.62,56.75,59.41,58.08
CWO2-C,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,20160622,USGS,NA,16.6,1.383333333,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.33,81.57,78.7,81.36,80.03
CWO2-D,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,16.1,1.341666667,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.13,106.45,103.58,106.24,104.91
CWO2-E,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,21.3,1.775,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.44,128.65,125.78,128.44,127.11
HB-3,WG,4.65652E+14,HFC_1,HFC,9/11/2017,20171006,USGS,NA,14,1.166666667,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Buried aquifer,"46°56'52.84""",NAD83,"94°39'47.2""",1453.03,223.66,213.33,223.53,218.43
HT-115,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171006,USGS,NA,13.2,1.1,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"46°56'52.81""",NAD83,"94°39'47.97""",1452,115.02,112.35,114.83,113.59
HT-140,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171006,USGS,NA,4.91,0.409166667,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"46°56'52.79""",NAD83,"94°39'47.84""",1452.39,140.44,137.77,140.25,139.01
HT-175,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171007,USGS,NA,12,1,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"46°56'52.89""",NAD83,"94°39'47.87""",1452.04,175.14,172.47,174.95,173.71
HT-200,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171007,USGS,NA,13.7,1.141666667,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"46°56'52.9""",NAD83,"94°39'48.01""",1452.04,197.89,195.22,197.7,196.46
LFO2-A,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,62.8,5.233333333,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Semi-Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.45,19.99,17.12,19.78,18.45
LFO2-B,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,43.8,3.65,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.29,35.13,32.26,34.92,33.59
LFO2-C,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,30.7,2.558333333,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.72,59.84,56.97,59.63,58.3
LFO2-D,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,33,2.75,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.18,85.14,82.27,84.93,83.6
LFO2-E,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,23.7,1.975,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.64,113.82,110.95,113.61,112.28
LFO2-F,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,26.2,2.183333333,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.47,162.42,149.56,159.18,154.37
MW-01,WG,4.65652E+14,HFC_1,HFC,9/11/2017,20171006,USGS,NA,11.8,0.983333333,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Surficial aquifer,"46°56'52.45""",NAD83,"94°39'47.79""",1453.54,85,80,85,82.5
Olivia-4,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,17.8,1.483333333,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Buried aquifer,"44°46'29.65""",NAD83,"95°00'21.65""",1071,238,204,228,216
Olivia-5,WG,4.44639E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,23.4,1.95,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Buried aquifer,"44°46'39.47""",NAD83,"95°00'21.78""",1075.01,226,228,238,233
OT-105,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,28.1,2.341666667,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"44°46'30.64""",NAD83,"95°00'21.74""",1071.61,105.1,101.95,104.94,103.445
OT-13,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,45.5,3.791666667,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Surficial aquifer,"44°46'30.34""",NAD83,"95°00'21.43""",1070.51,13.15,7.89,13.03,10.46
OT-145,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,19.8,1.65,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"44°46'30.53""",NAD83,"95°00'21.75""",1071.44,144.26,141.15,144.13,142.64
OT-175,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,23.8,1.983333333,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1071.46,175.39,172.26,175.26,173.76
OT-20,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,70.9,5.908333333,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1070.75,20.17,17.44,19.91,18.675
OT-60,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,18.4,1.533333333,PLA11,0.011,USGSNWQL,Magnesium_ water_ filtered_ milligrams per liter,Magnesium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1070.67,59.91,56.74,59.77,58.255
CWO1-A,WG,4.6411E+14,CW_1,Cromwell,5/13/2016,20160622,USGS,NA,0.87,0.022307692,PLO03,0.03,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"46°41'10""",NAD83,"92°53'14""",1326.28,147.97,144.56,147.36,145.96
CWO1-B,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,20160622,USGS,NA,1.37,0.035128205,PLO03,0.03,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Confined Aquifer,"46°41'10""",NAD83,"92°53'14""",1326.29,230.87,220.91,230.53,225.72
CWO1-C,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,20160622,USGS,NA,1.49,0.038205128,PLO03,0.03,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Bedrock Aquifer / Thomson Formation,"46°41'10""",NAD83,"92°53'14""",1326.25,339.59,329.63,339.25,334.44
CWO2-A,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,2.35,0.06025641,PLO03,0.03,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Semi-Confined Aquifer,"46°41'12""",NAD83,"92°53'14""",1332.28,35.17,32.3,34.96,33.63
CWO2-B,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,20160622,USGS,NA,1.51,0.038717949,PLO03,0.03,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.59,59.62,56.75,59.41,58.08
CWO2-C,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,20160622,USGS,NA,1.57,0.04025641,PLO03,0.03,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.33,81.57,78.7,81.36,80.03
CWO2-D,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,2.02,0.051794872,PLO03,0.03,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.13,106.45,103.58,106.24,104.91
CWO2-E,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,2.1,0.053846154,PLO03,0.03,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.44,128.65,125.78,128.44,127.11
HB-3,WG,4.65652E+14,HFC_1,HFC,9/11/2017,20171006,USGS,NA,1.52,0.038974359,PLO03,0.1,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Buried aquifer,"46°56'52.84""",NAD83,"94°39'47.2""",1453.03,223.66,213.33,223.53,218.43
HT-115,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171006,USGS,NA,1.76,0.045128205,PLO03,0.1,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"46°56'52.81""",NAD83,"94°39'47.97""",1452,115.02,112.35,114.83,113.59
HT-140,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171006,USGS,NA,1.95,0.05,PLO03,0.1,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"46°56'52.79""",NAD83,"94°39'47.84""",1452.39,140.44,137.77,140.25,139.01
HT-175,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171007,USGS,NA,1.75,0.044871795,PLO03,0.1,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"46°56'52.89""",NAD83,"94°39'47.87""",1452.04,175.14,172.47,174.95,173.71
HT-200,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171007,USGS,NA,1.51,0.038717949,PLO03,0.1,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"46°56'52.9""",NAD83,"94°39'48.01""",1452.04,197.89,195.22,197.7,196.46
LFO2-A,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,5.36,0.137435897,PLO03,0.03,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Semi-Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.45,19.99,17.12,19.78,18.45
LFO2-B,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,4.77,0.122307692,PLO03,0.03,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.29,35.13,32.26,34.92,33.59
LFO2-C,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,8.12,0.208205128,PLO03,0.03,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.72,59.84,56.97,59.63,58.3
LFO2-D,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,7.36,0.188717949,PLO03,0.03,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.18,85.14,82.27,84.93,83.6
LFO2-E,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,7.99,0.204871795,PLO03,0.03,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.64,113.82,110.95,113.61,112.28
LFO2-F,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,3.5,0.08974359,PLO03,0.03,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.47,162.42,149.56,159.18,154.37
